nid,title,collection,collection_folder
38916,"Bache, Richard to Benjamin Franklin, 1777 February 28",Founder's,founders
30740,"Washington, George to Nathanael Greene, 1780 January 27",Founder's,founders
38937,"Jones, John Paul to Benjamin Franklin, 1781 August 08",Founder's,founders
40988,"Jones, John Paul to Benjamin Franklin, 1781 December 13",Founder's,founders
38942,"Morris, Robert to Benjamin Franklin, 1783 November 04",Founder's,founders
40991,"Trumbull, Jonathan to Benjamin Franklin, 1781 August 02",Founder's,founders
40996,"Priestley, Joseph to Benjamin Franklin, 1781 December 10",Founder's,founders
38952,"Jackson, Charles to Benjamin Franklin, 1783 September 08",Founder's,founders
38957,"Franklin, Benjamin to Ann Hudson de Lavau, 1783 August 10",Founder's,founders
41006,"Jones, William to Benjamin Franklin, 1781 September 17",Founder's,founders
38959,"Vaughan, Benjamin to Benjamin Franklin, 1783 June 16",Founder's,founders
41015,"Cushing, Thomas to Benjamin Franklin, 1781 October 26",Founder's,founders
38969,"Benezet, Anthony to Benjamin Franklin, 1783 May 08",Founder's,founders
41025,"Morris, Robert to Benjamin Franklin, 1781 November 27",Founder's,founders
38982,"Mecom, Jane to Benjamin Franklin, 1780 December 24",Founder's,founders
38992,"Morris, Robert to Benjamin Franklin, 1781 June 08",Founder's,founders
39000,"Franklin, Benjamin to [Anthony Todd], 1783 September 27",Founder's,founders
90,"In Congress, May 15, 1776.",Founder's,founders
39012,"Vaughan, Benjamin to Benjamin Franklin, 1783 June 24",Founder's,founders
41066,"Bache, Richard to Benjamin Franklin, 1781 November 24",Founder's,founders
39020,"Bache, Richard to Benjamin Franklin, 1783 April 30",Founder's,founders
41083,"Hopkinson, Francis to Benjamin Franklin, 1781 November 30",Founder's,founders
39044,"Morris, Robert to Benjamin Franklin, 1783 May 12",Founder's,founders
140,"By His Excellency Elias Boudinot, Esquire, president of the United States in Congress assembled. A proclamation.",Founder's,founders
30870,"Washington, George to Nathanael Greene, 1779 May 6",Founder's,founders
41119,"Partridge, Elizabeth Hubbart to Benjamin Franklin, 1781 October 28",Founder's,founders
41124,"Cooper, Samuel to Benjamin Franklin, 1781 October 27",Founder's,founders
30892,"Greene, Nathanael to George Washington, 1779 June 11",Founder's,founders
34990,"Keugh, Lieutenant William, Report of British Officer to His Majesty from Camp at Germantown, September 28, 1777",Founder's,founders
30929,"Washington, George to Nathanael Greene, 1780 February 9",Founder's,founders
39126,"Hutton, James to Benjamin Franklin, 1783 September 13",Founder's,founders
41175,"Mecom, Jane to Benjamin Franklin, 1781 October 23",Founder's,founders
41181,"Johnson, Martha to Benjamin Franklin, 1781 October 18",Founder's,founders
39136,"Williams, Jonathan to Benjamin Franklin, 1783 December 20",Founder's,founders
26849,"In Congress, July 4, 1776. The unanimous declaration of the thirteen united States of America...",Founder's,founders
41186,"Vaughan, Benjamin to Benjamin Franklin, 1781 October 08",Founder's,founders
39141,"Lettsom, John Coakley to Benjamin Franklin, 1783 July 15",Founder's,founders
